Time,Covid-19,Death,,,,,,,,,,,,
1400/02/20,1091,14,,,,,,,,,,,,
1400/02/19,1094,15,,,,,,,,,,,,
1400/02/18,324,18,,,,,,,,,,,,
1400/02/17,1207,15,,,,,,,,,,,,
1400/02/16,1197,14,,,,,,,,,,,,
1400/02/15,769,18,,,,,,,,,,,,
1400/02/14,1266,23,,,,,,,,,,,,
1400/02/13,1342,20,,,,,,,,,,,,
1400/02/12,1241,17,,,,,,,,,,,,
1400/02/11,766,27,,,,,,,,,,,,
1400/02/10,1480,22,,,,,,,,,,,,
1400/02/09,1721,18,,,,,,,,,,,,
1400/02/08,1884,27,,,,,,,,,,,,
1400/02/07,1603,30,,,,,,,,,,,,
1400/02/06,2082,22,,,,,,,,,,,,
1400/02/05,1680,25,,,,,,,,,,,,
1400/02/04,813,17,,,,,,,,,,,,
1400/02/03,2099,21,,,,,,,,,,,,
1400/02/02,1686,29,,,,,,,,,,,,
1400/02/01,2237,28,,,,,,,,,,,,
1400/01/31,2326,27,,,,,,,,,,,,
1400/01/30,2127,26,,,,,,,,,,,,
1400/01/29,1632,19,,,,,,,,,,,,
1400/01/28,1872,18,,,,,,,,,,,,
1400/01/27,2046,14,,,,,,,,,,,,
1400/01/26,2166,16,,,,,,,,,,,,
1400/01/25,2416,17,,,,,,,,,,,,
1400/01/24,2255,14,,,,,,,,,,,,
1400/01/23,1937,12,,,,,,,,,,,,
1400/01/22,2434,17,,,,,,,,,,,,
1400/01/21,1164,6,,,,,,,,,,,,
1400/01/20,2660,15,,,,,,,,,,,,
1400/01/19,2061,9,,,,,,,,,,,,
1400/01/18,1785,7,,,,,,,,,,,,
1400/01/17,2073,10,,,,,,,,,,,,
1400/01/16,1544,9,,,,,,,,,,,,
1400/01/15,1281,6,,,,,,,,,,,,
1400/01/14,1184,3,,,,,,,,,,,,
1400/01/13,1418,10,,,,,,,,,,,,
1400/01/12,1357,1,,,,,,,,,,,,
1400/01/11,1158,6,,,,,,,,,,,,
1400/01/10,1385,7,,,,,,,,,,,,
1400/01/09,1014,1,,,,,,,,,,,,
1400/01/08,859,5,,,,,,,,,,,,
1400/01/07,707,5,,,,,,,,,,,,
1400/01/06,668,6,,,,,,,,,,,,
1400/01/05,601,4,,,,,,,,,,,,
1400/01/04,413,4,,,,,,,,,,,,
1400/01/03,374,6,,,,,,,,,,,,
1400/01/02,346,0,,,,,,,,,,,,
1400/01/01,304,0,,,,,,,,,,,,
1399/12/30,317,3,,,,,,,,,,,,
1399/12/29,528,1,,,,,,,,,,,,
1399/12/28,558,1,,,,,,,,,,,,
1399/12/27,344,3,,,,,,,,,,,,
1399/12/26,678,4,,,,,,,,,,,,
1399/12/25,327,10,,,,,,,,,,,,
1399/12/24,320,1,,,,,,,,,,,,
1399/12/23,177,3,,,,,,,,,,,,
1399/12/22,296,4,,,,,,,,,,,,
1399/12/21,416,3,,,,,,,,,,,,
1399/12/20,291,4,,,,,,,,,,,,
1399/12/19,352,5,,,,,,,,,,,,
1399/12/18,310,3,,,,,,,,,,,,
1399/12/17,230,4,,,,,,,,,,,,
1399/12/16,244,0,,,,,,,,,,,,
1399/12/15,315,2,,,,,,,,,,,,
1399/12/14,262,4,,,,,,,,,,,,
1399/12/13,255,1,,,,,,,,,,,,
1399/12/12,317,1,,,,,,,,,,,,
1399/12/11,287,1,,,,,,,,,,,,
1399/12/10,155,1,,,,,,,,,,,,
1399/12/09,175,4,,,,,,,,,,,,
1399/12/08,157,1,,,,,,,,,,,,
1399/12/07,309,3,,,,,,,,,,,,
1399/12/06,238,3,,,,,,,,,,,,
1399/12/05,268,2,,,,,,,,,,,,
1399/12/04,272,0,,,,,,,,,,,,
1399/12/03,309,2,,,,,,,,,,,,
1399/12/02,108,3,,,,,,,,,,,,
1399/12/01,349,3,,,,,,,,,,,,
1399/11/30,308,4,,,,,,,,,,,,
1399/11/29,212,0,,,,,,,,,,,,
1399/11/28,344,4,,,,,,,,,,,,
1399/11/27,246,4,,,,,,,,,,,,
1399/11/26,202,1,,,,,,,,,,,,
1399/11/25,173,4,,,,,,,,,,,,
1399/11/24,218,1,,,,,,,,,,,,
