,V1,V2,V3
1,1399/01/09,149,NA
2,1399/01/10,175,NA
3,1399/01/11,149,NA
4,1399/01/12,160,NA
5,1399/01/13,NA,NA
6,1399/01/14,110,NA
7,1399/01/15,146,NA
8,1399/01/16,NA,NA
9,1399/01/17,160,NA
10,1399/01/18,145,NA
11,1399/01/19,NA,NA
12,1399/01/20,126,NA
13,1399/01/21,NA,NA
14,1399/01/22,NA,NA
15,1399/01/23,NA,NA
16,1399/01/24,NA,NA
17,1399/01/25,131,NA
18,1399/01/26,131,NA
19,1399/01/27,146,NA
20,1399/01/28,NA,NA
21,1399/01/29,NA,NA
22,1399/01/30,91,NA
23,1399/01/31,NA,NA
24,1399/02/01,139,NA
25,1399/02/02,139,NA
26,1399/02/03,139,NA
27,1399/02/04,NA,NA
28,1399/02/05,NA,NA
29,1399/02/06,99,NA
30,1399/02/07,124,NA
31,1399/02/08,NA,NA
32,1399/02/09,113,NA
33,1399/02/10,95,NA
34,1399/02/11,112,NA
35,1399/02/12,NA,NA
36,1399/02/13,107,NA
37,1399/02/14,95,NA
38,1399/02/15,116,NA
39,1399/02/16,111,NA
40,1399/02/17,NA,NA
41,1399/02/18,100,NA
42,1399/02/19,NA,NA
43,1399/02/20,75,NA
44,1399/02/21,87,NA
45,1399/02/22,88,NA
46,1399/02/23,106,NA
47,1399/02/24,83,NA
48,1399/02/25,65,NA
49,1399/02/26,81,NA
50,1399/02/27,73,NA
51,1399/02/28,107,NA
52,1399/02/29,83,NA
53,1399/02/30,NA,NA
54,1399/02/31,98,NA
55,1399/03/01,NA,NA
56,1399/03/02,NA,NA
57,1399/03/03,73,NA
58,1399/03/04,NA,NA
59,1399/03/05,NA,NA
60,1399/03/06,70,NA
61,1399/03/07,75,NA
62,1399/03/08,NA,NA
63,1399/03/09,NA,NA
64,1399/03/10,52,NA
65,1399/03/11,81,NA
66,1399/03/12,89,NA
67,1399/03/13,63,NA
68,1399/03/14,59,NA
69,1399/03/15,NA,NA
70,1399/03/16,NA,NA
71,1399/03/17,59,NA
72,1399/03/18,79,NA
73,1399/03/19,61,NA
74,1399/03/20,77,NA
75,1399/03/21,63,NA
76,1399/03/22,87,NA
77,1399/03/23,NA,NA
78,1399/03/24,58,NA
79,1399/03/25,81,NA
80,1399/03/26,69,NA
81,1399/03/27,70,NA
82,1399/03/28,NA,NA
83,1399/03/29,NA,NA
84,1399/03/30,NA,NA
85,1399/03/31,64,NA
86,1399/04/01,73,NA
87,1399/04/02,77,NA
88,1399/04/03,66,NA
89,1399/04/04,76,NA
90,1399/04/05,85,NA
91,1399/04/06,NA,NA
92,1399/04/07,74,NA
93,1399/04/08,93,NA
94,1399/04/09,NA,NA
95,1399/04/10,76,NA
96,1399/04/11,102,NA
97,1399/04/12,85,NA
98,1399/04/13,NA,NA
99,1399/04/14,76,NA
100,1399/04/15,106,NA
101,1399/04/16,134,NA
102,1399/04/17,115,NA
103,1399/04/18,104,NA
104,1399/04/19,114,NA
105,1399/04/20,NA,NA
106,1399/04/21,89,NA
107,1399/04/22,85,NA
108,1399/04/23,83,NA
109,1399/04/24,108,NA
110,1399/04/25,137,NA
111,1399/04/26,111,NA
112,1399/04/27,132,NA
113,1399/04/28,105,NA
114,1399/04/29,97,NA
115,1399/04/30,135,NA
116,1399/04/31,125,NA
117,1399/05/01,106,NA
118,1399/05/02,131,NA
119,1399/05/03,132,NA
120,1399/05/04,110,NA
121,1399/05/05,139,NA
122,1399/05/06,154,NA
123,1399/05/07,111,NA
124,1399/05/08,128,NA
125,1399/05/09,124,NA
126,1399/05/10,NA,NA
127,1399/05/11,97,NA
128,1399/05/12,150,NA
129,1399/05/13,135,NA
130,1399/05/14,116,NA
131,1399/05/15,109,NA
132,1399/05/16,126,NA
133,1399/05/17,120,NA
134,1399/05/18,99,NA
135,1399/05/19,91,NA
136,1399/05/20,165,NA
137,1399/05/21,115,NA
138,1399/05/22,148,NA
139,1399/05/23,118,NA
140,1399/05/24,109,NA
141,1399/05/25,104,NA
142,1399/05/26,150,NA
143,1399/05/27,156,NA
144,1399/05/28,121,NA
145,1399/05/29,126,NA
146,1399/05/30,117,NA
147,1399/05/31,137,NA
148,1399/06/01,95,NA
149,1399/06/02,184,NA
150,1399/06/03,172,NA
151,1399/06/04,136,NA
152,1399/06/05,137,NA
153,1399/06/06,118,7
154,1399/06/07,170,8
155,1399/06/08,142,7
156,1399/06/09,140,7
157,1399/06/10,142,8
